channel_id,display_names,full_name,call_sign,channel_number,url,icon_src,present_in,name_norm,call_sign_extracted,Customlocation,quality,feed,country_hint,network,base_name,network_key,Channel_Name,Network_Owner,Country,network_key.1,brand_key,country_key,brand_country_key
4311.stations.xmltv.tvmedia.ca,A&E CanadaA&E615,A&E Canada,,615,WWW.AETV.COM,http://cdn.tvpassport.com/image/station/76x28/v2/s10036_h15_aa.png,Bell_Fibe[CA],A&E Canada,,,,,CA,,A&E Canada,A&E,A&E,The Walt Disney Company,USA,A&E,A&E Canada,CA,A&E|CA
4311.stations.xmltv.tvmedia.ca,A&E CanadaA&E615,A&E Canada,,615,WWW.AETV.COM,http://cdn.tvpassport.com/image/station/76x28/v2/s10036_h15_aa.png,Bell_Fibe[CA],A&E Canada,,,,,CA,,A&E Canada,A&E,A&E,A&E Networks,USA,A&E,A&E Canada,CA,A&E|CA
3886.stations.xmltv.tvmedia.ca,A&E Canada HDA&E-HD1615,A&E Canada HD,,1615,WWW.AETV.COM,http://cdn.tvpassport.com/image/station/76x28/v2/s55097_h9_aa.png,Bell_Fibe[CA],A&E Canada HD,,,HD,,CA,,A&E Canada,A&E,A&E,The Walt Disney Company,USA,A&E,A&E Canada,CA,A&E|CA
3886.stations.xmltv.tvmedia.ca,A&E Canada HDA&E-HD1615,A&E Canada HD,,1615,WWW.AETV.COM,http://cdn.tvpassport.com/image/station/76x28/v2/s55097_h9_aa.png,Bell_Fibe[CA],A&E Canada HD,,,HD,,CA,,A&E Canada,A&E,A&E,A&E Networks,USA,A&E,A&E Canada,CA,A&E|CA
2.stations.xmltv.tvmedia.ca,A&E US - Eastern FeedA&E102,A&E US - Eastern Feed,,102,www.AETV.com,http://cdn.tvpassport.com/image/station/76x28/v2/s10035_h15_ab.png,Spectrum_NY[US],A&E US Eastern Feed,,,,East,US,,A&E US,A&E US,,,,,A&E US,US,
2589.stations.xmltv.tvmedia.ca,"ABC (KABC) Los Angeles, CAKABC-TV397","ABC (KABC) Los Angeles, CA",KABC-TV,397,WWW.ABC7.COM,http://cdn.tvpassport.com/image/station/76x28/v2/s28708_h15_ac.png,DirecTV[US],ABC KABC Los Angeles CA,KABC,"Los Angeles, CA",,,US,,ABC,ABC,,,,,ABC,US,
181.stations.xmltv.tvmedia.ca,"ABC (KOMO) Seattle, WAKOMO-TV286","ABC (KOMO) Seattle, WA",KOMO-TV,286,WWW.KOMOTV.COM,http://cdn.tvpassport.com/image/station/76x28/v2/s28708_h15_ac.png,Bell_Fibe[CA],ABC KOMO Seattle WA,KOMO,"Seattle, WA",,,CA,,ABC,ABC,,,,,ABC,CA,
2829.stations.xmltv.tvmedia.ca,"ABC (KOMO) Seattle, WA HDKOMO-HD1286","ABC (KOMO) Seattle, WA HD",KOMO-HD,1286,www.komotv.com/,http://cdn.tvpassport.com/image/station/76x28/v2/s10003_h15_ac.png,Bell_Fibe[CA],ABC KOMO Seattle WA HD,KOMO,"Seattle, WA HD",HD,,CA,,ABC,ABC,,,,,ABC,CA,
1769.stations.xmltv.tvmedia.ca,"ABC (WABC) New York, NYWABC-TV3967","ABC (WABC) New York, NY",WABC-TV,396,www.abc7ny.com,http://cdn.tvpassport.com/image/station/76x28/v2/s10003_h15_ac.png,DirecTV[US]Spectrum_NY[US],ABC WABC New York NY,WABC,"New York, NY",,,US,,ABC,ABC,,,,,ABC,US,
4553.stations.xmltv.tvmedia.ca,"ABC (WABC) New York, NY HDWABC-HD1200","ABC (WABC) New York, NY HD",WABC-HD,1200,www.abc7ny.com,http://cdn.tvpassport.com/image/station/76x28/v2/s10003_h15_ac.png,Spectrum_NY[US],ABC WABC New York NY HD,WABC,"New York, NY HD",HD,,US,,ABC,ABC,,,,,ABC,US,
89.stations.xmltv.tvmedia.ca,"ABC (WKBW) Buffalo, NYWKBW-TV221","ABC (WKBW) Buffalo, NY",WKBW-TV,221,www.wkbw.com/,http://cdn.tvpassport.com/image/station/76x28/v2/s10003_h15_ac.png,Bell_Fibe[CA],ABC WKBW Buffalo NY,WKBW,"Buffalo, NY",,,CA,,ABC,ABC,,,,,ABC,CA,
2811.stations.xmltv.tvmedia.ca,"ABC (WXYZ) Detroit, MI - Canada HDWXYZ-HD1221","ABC (WXYZ) Detroit, MI - Canada HD",WXYZ-HD,1221,www.wxyztv.com,http://cdn.tvpassport.com/image/station/76x28/v2/s10003_h15_ac.png,Bell_Fibe[CA],ABC WXYZ Detroit MI Canada HD,WXYZ,"Detroit, MI - Canada HD",HD,,CA,,ABC,ABC,,,,,ABC,CA,
