lineup_id,country,channel_type,channel_id,dn_1,dn_2,dn_3,call_sign,channel_number,feed,network_base,city,region,brand_scope,resolution,final_display_name
10269,CA,specialty,3905.stations.xmltv.tvmedia.ca,"CTV Vancouver, BC HD",CIVTHD,101,CIVTHD,101,,"CTV Vancouver, BC HD",,,,,
10269,CA,specialty,9699.stations.xmltv.tvmedia.ca,CTV2  - Network HD,CTV2,102,CTV2,102,,CTV2  - Network HD,,,,,
10269,CA,specialty,4194.stations.xmltv.tvmedia.ca,Global BC HD,CHANHD,104,CHANHD,104,,Global BC HD,,,,,
10269,CA,local,187.stations.xmltv.tvmedia.ca,"CITY Vancouver, BC",CKVU,106,CKVU,106,,CITY,Vancouver,BC,,,
10269,CA,specialty,9689.stations.xmltv.tvmedia.ca,"CHEK Vancouver Island, BC HD",CHEK,121,CHEK,121,,"CHEK Vancouver Island, BC HD",,,,,
10269,CA,specialty,2829.stations.xmltv.tvmedia.ca,"ABC (KOMO) Seattle, WA HD",KOMO-HD,131,KOMO-HD,131,,ABC,,,,,
10269,CA,specialty,2830.stations.xmltv.tvmedia.ca,"CBS (KIRO) Seattle, WA HD",KIRO-HD,133,KIRO-HD,133,,CBS,,,,,
10269,CA,specialty,2831.stations.xmltv.tvmedia.ca,"NBC (KING) Seattle, WA HD",KING-HD,135,KING-HD,135,,NBC,,,,,
10269,CA,specialty,2832.stations.xmltv.tvmedia.ca,"FOX (KCPQ) Tacoma, WA HD - Canada",KCPQ-HD,137,KCPQ-HD,137,,FOX,,,,,
10269,CA,specialty,10686.stations.xmltv.tvmedia.ca,"PBS (KCTS) Seattle, WA HD",KCTS-HD,139,KCTS-HD,139,,PBS,,,,,
10269,CA,specialty,8499.stations.xmltv.tvmedia.ca,"PBS (KSPS) Spokane, WA HD",KSPS-HD,140,KSPS-HD,140,,PBS,,,,,
10269,CA,specialty,9221.stations.xmltv.tvmedia.ca,UNI (KVOS) Bellingham,KVOSB-TV,141,KVOSB-TV,141,,UNI,,,,,
10269,CA,specialty,6252.stations.xmltv.tvmedia.ca,"Seattle 11 (KSTW) Tacoma, WA HD",KSTW-HD,143,KSTW-HD,143,,Seattle 11,,,,,
10269,CA,specialty,5682.stations.xmltv.tvmedia.ca,"KTLA Los Angeles, CA HD",KTLA-HD,145,KTLA-HD,145,,"KTLA Los Angeles, CA HD",,,,,
10269,CA,specialty,6805.stations.xmltv.tvmedia.ca,"CBC (CBHT) Halifax, NS HD",CBHT-HD,200,CBHT-HD,200,,CBC,,,,,
10269,CA,specialty,2826.stations.xmltv.tvmedia.ca,"CBC (CBLT) Toronto, ON HD",CBLT-HD,201,CBLT-HD,201,,CBC,,,,,
10269,CA,specialty,6810.stations.xmltv.tvmedia.ca,"CBC (CBWT) Winnipeg, MB HD",CBWT-HD,202,CBWT-HD,202,,CBC,,,,,
10269,CA,specialty,6809.stations.xmltv.tvmedia.ca,"CBC (CBRT) Calgary, AB HD",CBRT-HD,204,CBRT-HD,204,,CBC,,,,,
10269,CA,specialty,6257.stations.xmltv.tvmedia.ca,"CBC (CBUT) Vancouver, BC HD",CBUT-HD,205,CBUT-HD,205,,CBC,,,,,
10269,CA,specialty,6787.stations.xmltv.tvmedia.ca,CBC On Demand,CBCOD,206,CBCOD,206,,CBC On Demand,,,,,
10269,CA,specialty,7950.stations.xmltv.tvmedia.ca,"CTV (CKY) Winnipeg, MB HD",CKY-HD,208,CKY-HD,208,,CTV,,,,,
10269,CA,specialty,7176.stations.xmltv.tvmedia.ca,"CTV Montreal (CFCF), QC HD",CTVHM-HD,209,CTVHM-HD,209,,CTV Montreal,,,,,
10269,CA,specialty,6812.stations.xmltv.tvmedia.ca,CTV (CJCH) Halifax HD,CJCH-HD,210,CJCH-HD,210,,CTV,,,,,
10269,CA,specialty,2814.stations.xmltv.tvmedia.ca,"CTV (CFTO) Toronto, ON HD",CFTO-HD,211,CFTO-HD,211,,CTV,,,,,
10269,CA,specialty,6454.stations.xmltv.tvmedia.ca,"CTV (CFCN) Calgary, AB HD",CTVHC-HD,213,CTVHC-HD,213,,CTV,,,,,
10269,CA,specialty,4021.stations.xmltv.tvmedia.ca,Global (CIII) Ontario HD,CIII-HD,221,CIII-HD,221,,Global,,,,,
10269,CA,specialty,6436.stations.xmltv.tvmedia.ca,"Global (CITV) Edmonton, AB HD",CITV-HD,222,CITV-HD,222,,Global,,,,,
10269,CA,specialty,6431.stations.xmltv.tvmedia.ca,"Global (CICT) Calgary, AB HD",CICT-HD,223,CICT-HD,223,,Global,,,,,
