provider	xmltv_id	channel_number	canonical_name	alt_names	country	region	category	edge_case	exclude	hd_flag	duplicate_flag	network_group	icon_url	url	notes
CA	13887.stations.xmltv.tvmedia.ca	2	TVO (CICA-DT) Toronto, ON	CICA-DT|2	CA	CICA-DT	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s70583_h15_ad.png		
CA	13585.stations.xmltv.tvmedia.ca	3	Global (CIII-DT-41) Toronto	CIII-DT-41|3	CA	CIII-DT-41	Entertainment	False	False	False	False	Global	http://cdn.tvpassport.com/image/station/76x28/v2/s73281_h15_ab.png	www.canada.com/globaltv/ontario	
CA	34.stations.xmltv.tvmedia.ca	6	CBC (CBLT) Toronto, ON	CBLT|6	CA	CBLT	Entertainment	False	False	False	False	CBC	http://cdn.tvpassport.com/image/station/76x28/v2/s10084_h15_ab.png	www.ais.cbc.ca/ais/owa/html.putloginpage	
CA	42.stations.xmltv.tvmedia.ca	7	CITY Toronto, ON	CITY|7	CA		Entertainment	False	False	False	False	Citytv	http://cdn.tvpassport.com/image/station/76x28/v2/s10125_h15_ab.png	WWW.CITYTV.COM	
CA	39.stations.xmltv.tvmedia.ca	8	CTV (CFTO) Toronto, ON	CFTO|8	CA	CFTO	Entertainment	False	False	False	False	CTV	http://cdn.tvpassport.com/image/station/76x28/v2/s10108_h15_ab.png	WWW.CKCO-TV.COM	
CA	43.stations.xmltv.tvmedia.ca	11	CHCH Hamilton, ON	CHCH|11	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s10112_h15_aa.png	www.canada.com/globaltv/index.html	
CA	613.stations.xmltv.tvmedia.ca	14	OMNI.2	OMNI2|14	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s31558_h15_aa.png		
CA	88.stations.xmltv.tvmedia.ca	16	CBS (WIVB) Buffalo, NY	WIVB-TV|16	US	WIVB	Entertainment	False	False	False	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s10098_h15_ac.png	www.wivb.com	
CA	91.stations.xmltv.tvmedia.ca	17	NBC (WGRZ) Buffalo, NY	WGRZ|17	US	WGRZ	Entertainment	False	False	False	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s10991_h15_ad.png	www.wgrz.com	
CA	89.stations.xmltv.tvmedia.ca	18	ABC (WKBW) Buffalo, NY	WKBW-TV|18	US	WKBW	Entertainment	False	False	False	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s10003_h15_ac.png	www.wkbw.com/	
CA	36.stations.xmltv.tvmedia.ca	20	CTV2 Toronto, ON	CTV2T|20	CA		Entertainment	False	False	False	False	CTV	http://cdn.tvpassport.com/image/station/76x28/v2/s10135_h15_ab.png		
CA	419.stations.xmltv.tvmedia.ca	23	Weather Network	TWN|23	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s10170_h15_aa.png	www.theweathernetwork.com/ca	
CA	321.stations.xmltv.tvmedia.ca	24	CP24 (CablePulse 24)	CP24|24	CA	CablePulse 24	Entertainment	True	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s18168_h15_aa.png		
CA	74.stations.xmltv.tvmedia.ca	26	CBC News Network	CBCNN|26	CA		News	True	False	False	False	CBC	http://cdn.tvpassport.com/image/station/76x28/v2/s10094_h15_ad.png	www.cbc.ca/television/	
CA	64.stations.xmltv.tvmedia.ca	27	W (WTN) - East	W|27	CA	WTN	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s15024_h15_ab.png		
CA	45.stations.xmltv.tvmedia.ca	28	FOX (WUTV) Buffalo, NY	WUTV|28	US	WUTV	Entertainment	False	False	False	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s10212_h15_ab.png	www.wutv.com	
CA	73.stations.xmltv.tvmedia.ca	29	Much Music	MM|29	CA		Music	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s10984_h15_aa.png	www.muchmusic.com	
CA	11.stations.xmltv.tvmedia.ca	30	TSN1	TSN1|30	CA		Sports	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s11182_h15_aa.png		
CA	4311.stations.xmltv.tvmedia.ca	31	A&E Canada	A&E|31	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s10036_h15_aa.png	WWW.AETV.COM	
CA	3822.stations.xmltv.tvmedia.ca	32	AMC - Canada	AMC|32	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s52247_h15_aa.png		
CA	70.stations.xmltv.tvmedia.ca	33	CNN	CNN|33	CA		Entertainment	True	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s10142_h15_aa.png		
CA	1204.stations.xmltv.tvmedia.ca	34	TLC Canada	TLC|34	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s60734_h15_ac.png	tlc.discovery.com	
CA	309.stations.xmltv.tvmedia.ca	36	CTV Life	CTVLife|36	CA		Entertainment	False	False	False	False	CTV	http://cdn.tvpassport.com/image/station/76x28/v2/s18808_h15_ab.png		
CA	160.stations.xmltv.tvmedia.ca	37	Bravo Canada	BRAVOC|37	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s17610_h15_ag.png		
