provider	xmltv_id	channel_number	canonical_name	alt_names	country	region	category	edge_case	exclude	hd_flag	duplicate_flag	network_group	icon_url	url	notes
CA	6257.stations.xmltv.tvmedia.ca	100	CBC (CBUT) Vancouver, BC HD	CBUT-HD|100	CA	CBUT	Entertainment	False	False	True	False	CBC	http://cdn.tvpassport.com/image/station/76x28/v2/s10084_h15_ab.png	www.vancouver.cbc.ca/	
CA	3905.stations.xmltv.tvmedia.ca	101	CTV Vancouver, BC HD	CIVTHD|101	CA		Entertainment	False	False	True	False	CTV	http://cdn.tvpassport.com/image/station/76x28/v2/s44786_h15_aa.png		
CA	9699.stations.xmltv.tvmedia.ca	102	CTV2  - Network HD	CTV2|102	CA		Entertainment	False	False	True	False	CTV	http://cdn.tvpassport.com/image/station/76x28/v2/s110838_h15_aa.png		
CA	4194.stations.xmltv.tvmedia.ca	104	Global BC HD	CHANHD|104	CA		Entertainment	False	False	True	False	Global	http://cdn.tvpassport.com/image/station/76x28/v2/s60121_h15_ab.png		
CA	187.stations.xmltv.tvmedia.ca	106	CITY Vancouver, BC	CKVU|106	CA		Entertainment	False	False	False	False	Citytv	http://cdn.tvpassport.com/image/station/76x28/v2/s10136_h15_aa.png	www.citytv.com/vancouver	
CA	9689.stations.xmltv.tvmedia.ca	121	CHEK Vancouver Island, BC HD	CHEK|121	CA		Entertainment	False	False	True	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s72765_h15_ab.png	www.chektv.com/	
CA	2829.stations.xmltv.tvmedia.ca	131	ABC (KOMO) Seattle, WA HD	KOMO-HD|131	US	KOMO	Entertainment	False	False	True	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s10003_h15_ac.png	www.komotv.com/	
CA	2830.stations.xmltv.tvmedia.ca	133	CBS (KIRO) Seattle, WA HD	KIRO-HD|133	US	KIRO	Entertainment	False	False	True	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s28711_h15_ab.png	www.kiro7.com	
CA	2831.stations.xmltv.tvmedia.ca	135	NBC (KING) Seattle, WA HD	KING-HD|135	US	KING	Entertainment	False	False	True	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s28717_h15_ad.png	WWW.KING5.COM	
CA	2832.stations.xmltv.tvmedia.ca	137	FOX (KCPQ) Tacoma, WA HD - Canada	KCPQ-HD|137	US	KCPQ	Entertainment	False	False	True	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s10212_h15_ab.png	q13.trb.com	
CA	10686.stations.xmltv.tvmedia.ca	139	PBS (KCTS) Seattle, WA HD	KCTS-HD|139	US	KCTS	Entertainment	True	False	True	False	PBS	http://cdn.tvpassport.com/image/station/76x28/v2/s11039_h15_ab.png	www.kcts.org/	
CA	8499.stations.xmltv.tvmedia.ca	140	PBS (KSPS) Spokane, WA HD	KSPS-HD|140	US	KSPS	Entertainment	True	False	True	False	PBS	http://cdn.tvpassport.com/image/station/76x28/v2/s32356_h15_ac.png		
