provider	xmltv_id	channel_number	canonical_name	alt_names	country	region	category	edge_case	exclude	hd_flag	duplicate_flag	network_group	icon_url	url	notes
US	2172.stations.xmltv.tvmedia.ca		CBS (KCBS) Los Angeles, CA	KCBS-TV|2-1	US	KCBS	Entertainment	False	False	False	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s28711_h15_ab.png		
US	17242.stations.xmltv.tvmedia.ca		Start TV (KCBS-TV2) Los Angeles, CA	KCBS-TV2|2-2	US	KCBS-TV2	Entertainment	False	False	False	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s109454_h15_ab.png	WWW.CHANNEL2000.COM	
US	34149.stations.xmltv.tvmedia.ca		DABL (KCBS-TV3) Los Angeles, CA	KCBS-TV3|2-3	US	KCBS-TV3	Entertainment	False	False	False	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s112157_h15_ab.png		
US	35863.stations.xmltv.tvmedia.ca		FAVE TV (KCBS-TV4) Los Angeles, CA	KCBS-TV4|2-4	US	KCBS-TV4	Entertainment	False	False	False	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s117058_h15_aa.png		
US	2588.stations.xmltv.tvmedia.ca		NBC (KNBC) Los Angeles, CA	KNBC|4-1	US	KNBC	Entertainment	False	False	False	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s10991_h15_ad.png	www.nbc4.tv	
US	10920.stations.xmltv.tvmedia.ca		Cozi TV (KNBC2) Los Angeles, CA	KNBC2|4-2	US	KNBC2	Entertainment	False	False	False	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s78851_h15_ab.png	WWW.NBC4LA.COM	
US	35026.stations.xmltv.tvmedia.ca		LX Network (KNBC-DT3) Los Angeles, CA	KNBC3|4-3	US	KNBC-DT3	Entertainment	False	False	False	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v3/114892-38198.png		
US	37110.stations.xmltv.tvmedia.ca		Oxygen (KNBC-DT4) Los Angeles, CA	KNBC4|4-4	US	KNBC-DT4	Entertainment	False	False	False	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s21484_h15_ac.png	WWW.OXYGEN.COM	
US	90.stations.xmltv.tvmedia.ca		KTLA Los Angeles, CA	KTLA|5-1	US		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s53098_h15_ac.png	www.ktla.com	
US	11204.stations.xmltv.tvmedia.ca		Antenna (KTLA2) Los Angeles, CA	KTLA2|5-2	US	KTLA2	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v3/63335-1EECE.png	WWW.KTLA.COM	
US	11205.stations.xmltv.tvmedia.ca		GritTV (KTLA3) Los Angeles, CA	KTLA3|5-3	US	KTLA3	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v3/70319-2255E.png	WWW.KTLA.COM	
US	33679.stations.xmltv.tvmedia.ca		Shop LC (KTLA4) Los Angeles, CA	KTLA4|5-4	US	KTLA4	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s56032_h15_ac.png	WWW.KTLA.COM	
US	36477.stations.xmltv.tvmedia.ca		Rewind TV US (KTLA5) Los Angeles, CA	KTLA5|5-5	US	KTLA5	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s119814_h15_ab.png	www.ktla.com/	
US	13348.stations.xmltv.tvmedia.ca		MeTV Plus (KHTV) Los Angeles, CA	KHTV-CD|6-1	US	KHTV	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s119266_h15_aa.png		
US	13349.stations.xmltv.tvmedia.ca		"KHTV-DT2 ""Mana"" - Los Angeles, CA"	KHTV-CD2|6-2	US		Entertainment	False	False	False	False	Specialty			
