provider	xmltv_id	channel_number	canonical_name	alt_names	country	region	category	edge_case	exclude	hd_flag	duplicate_flag	network_group	icon_url	url	notes
US	1766.stations.xmltv.tvmedia.ca	2	CBS (WCBS) New York, NY	WCBS-TV|2	US	WCBS	Entertainment	False	False	False	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s10098_h15_ac.png	https://www.cbsnews.com/newyork/	
US	5138.stations.xmltv.tvmedia.ca	3	MeTV (WJLP) New Jersey/New York	WJLP|3	US	WJLP	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s96311_h15_aa.png	www.njnn.tv	
US	1767.stations.xmltv.tvmedia.ca	4	NBC (WNBC) New York, NY	WNBC|4	US	WNBC	Entertainment	False	False	False	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s10991_h15_ad.png		
US	1638.stations.xmltv.tvmedia.ca	5	FOX (WNYW) New York, NY	WNYW|5	US	WNYW	Entertainment	False	False	False	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s10212_h15_ab.png	www.fox5ny.com/	
US	4689.stations.xmltv.tvmedia.ca	6	Shop LC (WRNN) Kingston, NY	WRNN-TV|6	CA	WRNN	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s56032_h15_ac.png	www.rnntv.com/	
US	1769.stations.xmltv.tvmedia.ca	7	ABC (WABC) New York, NY	WABC-TV|7	US	WABC	Entertainment	False	False	False	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s10003_h15_ac.png	www.abc7ny.com	
US	65.stations.xmltv.tvmedia.ca	8	NewsNation - Eastern Feed	NEWSN-E|8	CA		News	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s91097_h15_af.png	www.wgntv.com/	
US	1612.stations.xmltv.tvmedia.ca	9	MNT (WWOR) New York, NY	WWOR-TV|9	US	WWOR	Entertainment	False	False	False	False	Specialty		www.upn9.com	
US	9574.stations.xmltv.tvmedia.ca	10	WLNY TV10/55, Riverhead, NY	WLNY-TV|10	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s31225_h9_aa.png		
US	63.stations.xmltv.tvmedia.ca	11	WPIX New York (SUPERSTATION)	WPIX|11	US	SUPERSTATION	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s53098_h15_ac.png		
US	1772.stations.xmltv.tvmedia.ca	12	Telemundo (WNJU) Teterboro, NJ	WNJU|12	CA	WNJU	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s10239_h15_ab.png	WWW.NOTICIERO47.NET	
US	1774.stations.xmltv.tvmedia.ca	13	PBS (WNET) New York, NY	WNET|13	US	WNET	Entertainment	True	False	False	False	PBS	http://cdn.tvpassport.com/image/station/76x28/v2/s11039_h15_ab.png	www.wnet.org/	
US	6239.stations.xmltv.tvmedia.ca	14	YouToo America (WVVH-CD) Wainscott, NY	WVVH-CD|14	CA	WVVH-CD	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s109820_h15_aa.png	www.wvvh.com	
US	1962.stations.xmltv.tvmedia.ca	17	UNI (WFTY-DT2) New York, NY	WFTY-DT2|17	US	WFTY-DT2	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s29058_h15_ab.png	www.univision.com/content/channel.jhtml?chid=6&schid=1611	
US	2561.stations.xmltv.tvmedia.ca	18	WMBC-Newton, NJ	WMBC-TV|18	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s65064_h15_af.png	www.wmbctv.com/	
US	11337.stations.xmltv.tvmedia.ca	19	Story (WZME) Bridgeport, CT	WZME|19	CA	WZME	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s122968_h15_ac.png		
US	11080.stations.xmltv.tvmedia.ca	20	América TeVé (WPXO-LD) East Orange, NJ	WPXO-LD|20	CA	WPXO-LD	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s93459_h9_aa.png		
US	1775.stations.xmltv.tvmedia.ca	21	PBS (WLIW) Long Island, NY	WLIW|21	CA	WLIW	Entertainment	True	False	False	False	PBS	http://cdn.tvpassport.com/image/station/76x28/v2/s11039_h15_ab.png	www.wliw.org	
US	7292.stations.xmltv.tvmedia.ca	23	NJ PBS (NJTV)	PBS|23	CA	NJTV	Entertainment	True	False	False	False	PBS	http://cdn.tvpassport.com/image/station/76x28/v2/s11723_h15_ab.png	www.njn.net/	
US	10780.stations.xmltv.tvmedia.ca	24	P.E.G. Access	P.E.G.|24	CA		Entertainment	False	False	False	False	Specialty			
US	10780.stations.xmltv.tvmedia.ca	26	P.E.G. Access	P.E.G.|26	CA		Entertainment	False	False	False	True	Specialty			Duplicate channel ID
US	10780.stations.xmltv.tvmedia.ca	27	P.E.G. Access	P.E.G.|27	CA		Entertainment	False	False	False	True	Specialty			Duplicate channel ID
US	10780.stations.xmltv.tvmedia.ca	28	P.E.G. Access	P.E.G.|28	CA		Entertainment	False	False	False	True	Specialty			Duplicate channel ID
US	7289.stations.xmltv.tvmedia.ca	29	MHz Worldview (WNYJ-DT2) Milford, NJ	WNYJ-TV2|29	CA	WNYJ-DT2	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s49582_h9_aa.png	WWW.FAMILYRADIO.COM	
US	10780.stations.xmltv.tvmedia.ca	30	P.E.G. Access	P.E.G.|30	CA		Entertainment	False	False	False	True	Specialty			Duplicate channel ID
US	1778.stations.xmltv.tvmedia.ca	31	ION (WPXN) New York, NY	WPXN-TV|31	US	WPXN	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s18633_h15_ad.png	www.iontelevision.com	
US	10780.stations.xmltv.tvmedia.ca	32	P.E.G. Access	P.E.G.|32	CA		Entertainment	False	False	False	True	Specialty			Duplicate channel ID
US	1771.stations.xmltv.tvmedia.ca	41	UNI (WXTV) Teaneck, NJ	WXTV-DT|41	CA	WXTV	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s11118_h15_ab.png		
US	10780.stations.xmltv.tvmedia.ca	42	P.E.G. Access	P.E.G.|42	CA		Entertainment	False	False	False	True	Specialty			Duplicate channel ID
US	10780.stations.xmltv.tvmedia.ca	43	P.E.G. Access	P.E.G.|43	CA		Entertainment	False	False	False	True	Specialty			Duplicate channel ID
US	10780.stations.xmltv.tvmedia.ca	44	P.E.G. Access	P.E.G.|44	CA		Entertainment	False	False	False	True	Specialty			Duplicate channel ID
US	10780.stations.xmltv.tvmedia.ca	45	P.E.G. Access	P.E.G.|45	CA		Entertainment	False	False	False	True	Specialty			Duplicate channel ID
