provider	xmltv_id	channel_number	canonical_name	alt_names	country	region	category	edge_case	exclude	hd_flag	duplicate_flag	network_group	icon_url	url	notes
US	1830.stations.xmltv.tvmedia.ca	2	CBS (WBBM) Chicago, IL	WBBM-TV|2	CA	WBBM	Entertainment	False	False	False	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s10098_h15_ac.png	www.cbs2chicago.com/	
US	1831.stations.xmltv.tvmedia.ca	5	NBC (WMAQ) Chicago, IL	WMAQ-TV|5	CA	WMAQ	Entertainment	False	False	False	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s11670_h9_aa.png	www.nbc5.com/	
US	1838.stations.xmltv.tvmedia.ca	6	UNI (WGBO) Chicago, IL	WGBO-DT|6	CA	WGBO	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s11118_h15_ab.png		
US	1608.stations.xmltv.tvmedia.ca	7	ABC (WLS) Chicago, IL	WLS-TV|7	CA	WLS	Entertainment	False	False	False	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s10003_h15_ac.png	www.abc7chicago.com/	
US	1915.stations.xmltv.tvmedia.ca	9	WGN Chicago (LOCAL)	WGN-TV|9	CA	LOCAL	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s51306_h15_ac.png	WWW.WGNTV.COM	
US	1832.stations.xmltv.tvmedia.ca	11	PBS (WTTW) Chicago, IL	WTTW|11	CA	WTTW	Entertainment	True	False	False	False	PBS	http://cdn.tvpassport.com/image/station/76x28/v2/s11039_h15_ab.png	www.networkchicago.com/wttw/	
US	1606.stations.xmltv.tvmedia.ca	12	FOX (WFLD) Chicago, IL	WFLD|12	CA	WFLD	Entertainment	False	False	False	False	US Network	http://cdn.tvpassport.com/image/station/76x28/v2/s10212_h15_ab.png		
US	1834.stations.xmltv.tvmedia.ca	13	CW26 (WCIU)  Chicago IL	WCIU-TV|13	CA	WCIU	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s11347_h15_ac.png		
US	1837.stations.xmltv.tvmedia.ca	17	PBS (WYIN) Indiana	WYIN|17	CA	WYIN	Entertainment	True	False	False	False	PBS	http://cdn.tvpassport.com/image/station/76x28/v2/s32356_h15_ac.png		
US	4308.stations.xmltv.tvmedia.ca	18	"WJYS ""The Way"" Chicago, IL"	WJYS|18	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s31486_h6_aa.png		
US	347.stations.xmltv.tvmedia.ca	32	TNT - Eastern Feed	TNT|32	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s11164_h15_ac.png		
US	61.stations.xmltv.tvmedia.ca	33	TBS - East	TBS|33	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s11867_h15_ac.png		
US	1922.stations.xmltv.tvmedia.ca	38	ION (WCPX) Chicago, IL	WCPX-TV|38	CA	WCPX	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s18633_h15_ad.png	www.iontelevision.com	
US	177.stations.xmltv.tvmedia.ca	43	AMC - Eastern Feed	AMC|43	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s10021_h15_ab.png		
US	646.stations.xmltv.tvmedia.ca	44	Bravo USA - Eastern Feed	BRAVO|44	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s10057_h15_ab.png		
US	645.stations.xmltv.tvmedia.ca	45	Animal Planet US - East	ANPL|45	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s16331_h9_ad.png		
US	649.stations.xmltv.tvmedia.ca	46	Discovery Channel (US) - Eastern Feed	DISC|46	CA	US	Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s11150_h15_af.png		
US	1386.stations.xmltv.tvmedia.ca	48	NBC Sports Network	NBCSN|48	CA		Sports	False	False	False	False	US Network			
US	595.stations.xmltv.tvmedia.ca	55	Disney - Eastern Feed	DISN|55	CA		Entertainment	False	False	False	False	Specialty	http://cdn.tvpassport.com/image/station/76x28/v2/s10171_h15_ae.png	www.disneychannel.com	
